"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_CP041092.1","NZ_CP041092.1","SAMN07450608",1,"SHV-1","Thailand","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Swine","Rectal swab",NA,"Not Collected","chromosome"
"NZ_CP041093.1","NZ_CP041093.1","SAMN07450608",1,"CTX-M-14","Thailand","East Asia & Pacific","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Swine","Rectal swab",NA,"Not Collected","plasmid"
"NZ_CM016894.1","NZ_CM016894.1","SAMN07450610",1,"CTX-M-55","Thailand","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Swine","Rectal swab",NA,"Not Collected","plasmid"
"NZ_CP041111.1","NZ_CP041111.1","SAMN07450616",1,"CTX-M-55","Thailand","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Swine","Rectal swab",NA,"Not Collected","plasmid"
"NZ_CP041114.1","NZ_CP041114.1","SAMN07450616",1,"TEM-1","Thailand","East Asia & Pacific","2016","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Swine","Rectal swab",NA,"Not Collected","plasmid"
"NZ_PEGZ01000005.1","NZ_PEGZ01000005.1","SAMN07452547",3,"TEM-1,SHV-134,OXA-9","Romania","Europe & Central Asia","2012","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood culture",NA,"Targu Mures","plasmid"
"NZ_CM008879.1","NZ_CM008879.1","SAMN07452551",1,"NDM-1","Romania","Europe & Central Asia","2015","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","fecal screen",NA,"Targu Mures","plasmid"
"NZ_CM008880.1","NZ_CM008880.1","SAMN07452551",4,"TEM-215,TEM-28,CTX-M-15,OXA-1","Romania","Europe & Central Asia","2015","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","fecal screen",NA,"Targu Mures","plasmid"
"NZ_CM008884.1","NZ_CM008884.1","SAMN07452559",1,"NDM-1","Romania","Europe & Central Asia","2015","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Cluj-Napoca","plasmid"
"NZ_PEHB01000002.1","NZ_PEHB01000002.1","SAMN07452559",1,"CTX-M-3","Romania","Europe & Central Asia","2015","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Cluj-Napoca","plasmid"
"NZ_PEHB01000005.1","NZ_PEHB01000005.1","SAMN07452559",1,"TEM-1","Romania","Europe & Central Asia","2015","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Cluj-Napoca","plasmid"
"NZ_PEHB01000007.1","NZ_PEHB01000007.1","SAMN07452559",2,"TEM-105,TEM-215","Romania","Europe & Central Asia","2015","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Cluj-Napoca","plasmid"
"NZ_CM008895.1","NZ_CM008895.1","SAMN07452560",1,"NDM-1","Romania","Europe & Central Asia","2014","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","pharyngeal secretions",NA,"Targu Mures","plasmid"
"NZ_CM008896.1","NZ_CM008896.1","SAMN07452560",4,"TEM-215,TEM-28,CTX-M-15,OXA-1","Romania","Europe & Central Asia","2014","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","pharyngeal secretions",NA,"Targu Mures","plasmid"
"NZ_CM008898.1","NZ_CM008898.1","SAMN07452566",2,"TEM-1,SHV-134","Romania","Europe & Central Asia","2013","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound pus",NA,"Targu Mures","plasmid"
"NZ_CM008904.1","NZ_CM008904.1","SAMN07452566",1,"NDM-1","Romania","Europe & Central Asia","2013","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound pus",NA,"Targu Mures","plasmid"
"NZ_CM008906.1","NZ_CM008906.1","SAMN07452566",3,"TEM-1,CTX-M-3,OXA-1","Romania","Europe & Central Asia","2013","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound pus",NA,"Targu Mures","plasmid"
"NZ_CM008885.1","NZ_CM008885.1","SAMN07452571",1,"NDM-1","Romania","Europe & Central Asia","2013","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Cluj-Napoca","plasmid"
"NZ_PEHC01000009.1","NZ_PEHC01000009.1","SAMN07452571",2,"TEM-1,CTX-M-15","Romania","Europe & Central Asia","2013","Serratia marcescens","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Cluj-Napoca","plasmid"
"NZ_CM008908.1","NZ_CM008908.1","SAMN07452577",2,"TEM-1,OXA-1","Romania","Europe & Central Asia","2013","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood culture",NA,"Targu Mures","plasmid"
"NZ_CM008909.1","NZ_CM008909.1","SAMN07452577",2,"TEM-243,SHV-134","Romania","Europe & Central Asia","2013","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood culture",NA,"Targu Mures","plasmid"
"NZ_CM008911.1","NZ_CM008911.1","SAMN07452577",1,"NDM-1","Romania","Europe & Central Asia","2013","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood culture",NA,"Targu Mures","plasmid"
"NZ_PEHU01000018.1","NZ_PEHU01000018.1","SAMN07452577",1,"TEM-34","Romania","Europe & Central Asia","2013","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood culture",NA,"Targu Mures","plasmid"
"NZ_PEHU01000019.1","NZ_PEHU01000019.1","SAMN07452577",1,"TEM-1","Romania","Europe & Central Asia","2013","Enterobacter cloacae","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood culture",NA,"Targu Mures","plasmid"
"NZ_CP022691.2","NZ_CP022691.2","SAMN07452764",1,"SHV-11","Australia","East Asia & Pacific","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Patient urine",NA,"Doherty Applied Microbial Genomics","chromosome"
"NZ_CP022693.2","NZ_CP022693.2","SAMN07452764",3,"TEM-1,KPC-2,OXA-896","Australia","East Asia & Pacific","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Patient urine",NA,"Doherty Applied Microbial Genomics","plasmid"
"NZ_NSBV01000047.1","NZ_NSBV01000047.1","SAMN07459800",1,"NDM-4","India","South Asia","2011","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Water Sewage",NA,NA,"plasmid"
"NZ_CP022997.1","NZ_CP022997.1","SAMN07484315",2,"SHV-11,CTX-M-3","China","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Beijing Institute of Microbiology and Epidemiology","chromosome"
"NZ_CP025008.1","NZ_CP025008.1","SAMN07503088",1,"SHV-11","Australia","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Microbiological Diagnostic Unit Public Health Laboratory","chromosome"
"NZ_CP025009.1","NZ_CP025009.1","SAMN07503088",1,"KPC-2","Australia","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Microbiological Diagnostic Unit Public Health Laboratory","plasmid"
"NZ_CP025010.1","NZ_CP025010.1","SAMN07503088",4,"TEM-1,KPC-2,OXA-896,OXA-9","Australia","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Microbiological Diagnostic Unit Public Health Laboratory","plasmid"
"NZ_CP025005.1","NZ_CP025005.1","SAMN07503096",1,"SHV-11","Australia","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Sacral swab",NA,"Microbiological Diagnostic Unit Public Health Laboratory","chromosome"
"NZ_CP025006.1","NZ_CP025006.1","SAMN07503096",1,"KPC-2","Australia","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Sacral swab",NA,"Microbiological Diagnostic Unit Public Health Laboratory","plasmid"
"NZ_CP025007.1","NZ_CP025007.1","SAMN07503096",1,"SHV-134","Australia","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Sacral swab",NA,"Microbiological Diagnostic Unit Public Health Laboratory","plasmid"
"NZ_CP023351.1","NZ_CP023351.1","SAMN07503733",1,"TEM-1","Bangladesh","South Asia","2006","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Diarrheal stool",NA,"Asa Sjoling","plasmid"
"NZ_CP022882.1","NZ_CP022882.1","SAMN07508215",1,"SHV-11","China","East Asia & Pacific","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Beijing Institute of Microbiology and Epidemiology","chromosome"
"NZ_CP024226.1","NZ_CP024226.1","SAMN07509121",1,"CTX-M-15","US","North America","2014","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","missing","missing",NA,"missing","plasmid"
"NZ_CP027200.1","NZ_CP027200.1","SAMN07510673",1,"TEM-1","China","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Sewage",NA,NA,"plasmid"
"NZ_CP027202.2","NZ_CP027202.2","SAMN07510673",2,"TEM-1,CTX-M-65","China","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Sewage",NA,NA,"plasmid"
"NZ_CP027205.2","NZ_CP027205.2","SAMN07510673",1,"CMY-2","China","East Asia & Pacific","2017","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Sewage",NA,NA,"chromosome"
"NZ_CP023034.1","NZ_CP023034.1","SAMN07520231",2,"TEM-1,OXA-66","Mexico","Latin America & Caribbean","2009","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound",NA,"Hospital Ignacio Morones Prieto","chromosome"
"NZ_CP023035.1","NZ_CP023035.1","SAMN07520231",1,"OXA-72","Mexico","Latin America & Caribbean","2009","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","wound",NA,"Hospital Ignacio Morones Prieto","plasmid"
"NZ_CP023029.1","NZ_CP023029.1","SAMN07520232",2,"OXA-235,OXA-69","Mexico","Latin America & Caribbean","2010","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Bronchial fluid",NA,"Hospital General de Tijuana","chromosome"
"NZ_CP023026.1","NZ_CP023026.1","SAMN07520233",2,"TEM-1,OXA-66","Mexico","Latin America & Caribbean","2011","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Secretion",NA,"Hospital de Torreon","chromosome"
"NZ_CP023027.1","NZ_CP023027.1","SAMN07520233",1,"OXA-72","Mexico","Latin America & Caribbean","2011","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Secretion",NA,"Hospital de Torreon","plasmid"
"NZ_CP033243.1","NZ_CP033243.1","SAMN07520235",1,"OXA-65","Mexico","Latin America & Caribbean","2007","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Tissue",NA,"Hospital Universitario de Nuevo Leon","chromosome"
"NZ_CP023020.1","NZ_CP023020.1","SAMN07520236",3,"TEM-1,OXA-2,OXA-65","Mexico","Latin America & Caribbean","2013","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Hospital Central de Guadalajara","chromosome"
"NZ_CP023021.1","NZ_CP023021.1","SAMN07520236",1,"OXA-72","Mexico","Latin America & Caribbean","2013","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Hospital Central de Guadalajara","plasmid"
"NZ_CP023022.1","NZ_CP023022.1","SAMN07520237",1,"OXA-68","Mexico","Latin America & Caribbean","2012","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","Bronchial fluid",NA,"Hospital General de Acapulco","chromosome"
"NZ_CP022964.1","NZ_CP022964.1","SAMN07522555",1,"TEM-1","China","East Asia & Pacific","2017","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Chicken tissue",NA,"Yi Li","plasmid"
"NZ_CP023185.1","NZ_CP023185.1","SAMN07551913",1,"TEM-1","China","East Asia & Pacific","2017","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","patient","China: The First Affiliated Hospital of Zhejiang University",NA,"Beiwen Zheng","chromosome"
"NZ_CP023186.1","NZ_CP023186.1","SAMN07551913",1,"KPC-2","China","East Asia & Pacific","2017","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","patient","China: The First Affiliated Hospital of Zhejiang University",NA,"Beiwen Zheng","plasmid"
"NZ_CP023187.1","NZ_CP023187.1","SAMN07551913",1,"NDM-1","China","East Asia & Pacific","2017","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","patient","China: The First Affiliated Hospital of Zhejiang University",NA,"Beiwen Zheng","plasmid"
"NZ_CP023188.1","NZ_CP023188.1","SAMN07551913",1,"NDM-5","China","East Asia & Pacific","2017","Klebsiella michiganensis","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","patient","China: The First Affiliated Hospital of Zhejiang University",NA,"Beiwen Zheng","plasmid"
"NZ_CP026338.1","NZ_CP026338.1","SAMN07559626",2,"OXA-239,OXA-65","Mexico","Latin America & Caribbean","2015","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","feces",NA,"Hospital Infantil de Mexico Federico Gomez","chromosome"
"NZ_CP036320.1","NZ_CP036320.1","SAMN07572687",3,"SHV-1,CTX-M-15,CTX-M-236","India","South Asia","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Christian Medical College","chromosome"
"NZ_CP036321.1","NZ_CP036321.1","SAMN07572687",2,"TEM-1,CTX-M-154","India","South Asia","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Christian Medical College","plasmid"
"NZ_CP036323.1","NZ_CP036323.1","SAMN07572687",1,"OXA-232","India","South Asia","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Christian Medical College","plasmid"
"NZ_NTGJ01000100.1","NZ_NTGJ01000100.1","SAMN07572878",1,"KPC-2","Brazil","Latin America & Caribbean","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"Clinical Hospital from Federal University","plasmid"
"NZ_NTGJ01000102.1","NZ_NTGJ01000102.1","SAMN07572878",1,"CTX-M-15","Brazil","Latin America & Caribbean","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"Clinical Hospital from Federal University","plasmid"
"NZ_NTGJ01000118.1","NZ_NTGJ01000118.1","SAMN07572878",1,"OXA-1","Brazil","Latin America & Caribbean","2014","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","rectal swab",NA,"Clinical Hospital from Federal University","plasmid"
"NZ_NTHT01000061.1","NZ_NTHT01000061.1","SAMN07572879",1,"OXA-1","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Silvia D. Oliveira","plasmid"
"NZ_NTHT01000062.1","NZ_NTHT01000062.1","SAMN07572879",1,"TEM-1","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Silvia D. Oliveira","plasmid"
"NZ_NTHT01000071.1","NZ_NTHT01000071.1","SAMN07572879",1,"CTX-M-15","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Silvia D. Oliveira","plasmid"
"NZ_NTHT01000076.1","NZ_NTHT01000076.1","SAMN07572879",1,"KPC-2","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Silvia D. Oliveira","plasmid"
"NZ_NTHT01000084.1","NZ_NTHT01000084.1","SAMN07572879",1,"KPC-2","Brazil","Latin America & Caribbean","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Silvia D. Oliveira","plasmid"
"NZ_NTGK01000096.1","NZ_NTGK01000096.1","SAMN07572975",1,"KPC-2","Brazil","Latin America & Caribbean","2009","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Maria M. C. Morais","plasmid"
"NZ_NTGK01000128.1","NZ_NTGK01000128.1","SAMN07572975",1,"CTX-M-2","Brazil","Latin America & Caribbean","2009","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Maria M. C. Morais","plasmid"
"NZ_NTHU02000054.1","NZ_NTHU02000054.1","SAMN07572976",1,"KPC-2","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Lilian A. Rocha","plasmid"
"NZ_NTHU02000056.1","NZ_NTHU02000056.1","SAMN07572976",1,"TEM-1","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Lilian A. Rocha","plasmid"
"NZ_NTHU02000058.1","NZ_NTHU02000058.1","SAMN07572976",1,"OXA-1","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Lilian A. Rocha","plasmid"
"NZ_NTHU02000060.1","NZ_NTHU02000060.1","SAMN07572976",1,"CTX-M-15","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Lilian A. Rocha","plasmid"
"NZ_NTHV01000038.1","NZ_NTHV01000038.1","SAMN07573055",1,"TEM-216","Brazil","Latin America & Caribbean","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Marise D. Asensi","plasmid"
"NZ_NTHV01000039.1","NZ_NTHV01000039.1","SAMN07573055",1,"KPC-2","Brazil","Latin America & Caribbean","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Marise D. Asensi","plasmid"
"NZ_NTHV01000043.1","NZ_NTHV01000043.1","SAMN07573055",1,"OXA-9","Brazil","Latin America & Caribbean","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Marise D. Asensi","plasmid"
"NZ_NTHW02000060.1","NZ_NTHW02000060.1","SAMN07573090",1,"CTX-M-15","Brazil","Latin America & Caribbean","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Maria C. N. M.","plasmid"
"NZ_NTHW02000063.1","NZ_NTHW02000063.1","SAMN07573090",1,"KPC-2","Brazil","Latin America & Caribbean","2010","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Maria C. N. M.","plasmid"
"NZ_NTHX01000077.1","NZ_NTHX01000077.1","SAMN07573092",2,"TEM-1,CTX-M-15","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Albalucia M.C.C.","plasmid"
"NZ_NTHX01000078.1","NZ_NTHX01000078.1","SAMN07573092",1,"KPC-2","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Albalucia M.C.C.","plasmid"
"NZ_NTHX01000089.1","NZ_NTHX01000089.1","SAMN07573092",1,"OXA-1","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Albalucia M.C.C.","plasmid"
"NZ_NTHY02000071.1","NZ_NTHY02000071.1","SAMN07573093",1,"KPC-2","Brazil","Latin America & Caribbean","2016","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Iolanda A. B.","plasmid"
"NZ_CP023140.1","NZ_CP023140.1","SAMN07580891",2,"OXA-23,OXA-66","China","East Asia & Pacific","2016","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood",NA,"Yunsong Yu","chromosome"
"NZ_CP023167.1","NZ_CP023167.1","SAMN07594151",1,"TEM-1","Singapore","East Asia & Pacific","2016","Salmonella enterica","Salmonella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria",NA,"Wet market",NA,"Ye Htut Zwe","plasmid"
"NZ_CP023255.1","NZ_CP023255.1","SAMN07602569",1,"OXA-905","Sweden","Europe & Central Asia","2013","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","sputum",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","chromosome"
"NZ_CP023258.1","NZ_CP023258.1","SAMN07602583",2,"CMY-6,CTX-M-15","Sweden","Europe & Central Asia","2013","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","feces",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","chromosome"
"NZ_CP023259.1","NZ_CP023259.1","SAMN07602583",1,"OXA-1","Sweden","Europe & Central Asia","2013","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","feces",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
"NZ_CP023249.1","NZ_CP023249.1","SAMN07602587",1,"SHV-11","Sweden","Europe & Central Asia","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","chromosome"
"NZ_CP023250.1","NZ_CP023250.1","SAMN07602587",3,"TEM-1,CTX-M-15,OXA-1","Sweden","Europe & Central Asia","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
"NZ_CP023251.1","NZ_CP023251.1","SAMN07602587",1,"OXA-48","Sweden","Europe & Central Asia","2012","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","urine",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
"NZ_CP023274.1","NZ_CP023274.1","SAMN07602702",3,"CMY-16,OXA-10,NDM-1","Sweden","Europe & Central Asia","2013","Proteus mirabilis","Proteus","Morganellaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","feces",NA,"Clinical Microbiology Laboratory, Sahlgrenska University Hospital","plasmid"
